Parts,Price,Status,Supplier Link,Notes
,,,,
Electronics ,,,,
350W 24V PSU,Owned,,,
Ender 3V2 Bed,Owned,,,
Ender Nema 17 x 2 ,Owned,,,
BTT TMC5160T Plus (no case) x 4,$80.00,,https://www.aliexpress.com/item/1005007805632136.html?spm=a2g0o.productlist.main.23.b88aONiBONiBzc&algo_pvid=de3a336e-5193-4dcf-a299-ab3b5724522b&algo_exp_id=de3a336e-5193-4dcf-a299-ab3b5724522b-18&pdp_ext_f={%22order%22%3A%22972%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007805632136%22%2C%22orig_item_id%22%3A%221005007013784064%22%2C%22fromPage%22%3A%22search%22}&pdp_npi=6%40dis!USD!38.89!38.06!!!266.22!260.46!%40211b613917755539149878910ed41c!12000042261921360!sea!RO!6269058475!X!1!0!n_tag%3A-29919%3Bd%3A6fbfa3cb%3Bm03_new_user%3A-29895%3BpisId%3A5000000203421539&curPageLogUid=YRT6Syo2jqKZ&utparam-url=scene%3Asearch|query_from%3A|x_object_id%3A1005007805632136|_p_origin_prod%3A1005007013784064,
BTT TMC2209 x 2,$14.00,,https://www.aliexpress.com/item/33028050145.html?spm=a2g0o.productlist.main.1.d85dsmd9smd9Xo&algo_pvid=d3f5230c-236d-499f-9244-5bbd376803b8&algo_exp_id=d3f5230c-236d-499f-9244-5bbd376803b8-11&pdp_ext_f={%22order%22%3A%223728%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22}&pdp_npi=6%40dis!USD!9.27!8.82!!!9.27!8.82!%40211b653717755542524432305e5a3c!12000041238691049!sea!RO!6269058475!X!1!0!n_tag%3A-29919%3Bd%3A6fbfa3cb%3Bm03_new_user%3A-29895%3BpisId%3A5000000203430029&curPageLogUid=ziA9pgqQbXmp&utparam-url=scene%3Asearch|query_from%3A|x_object_id%3A33028050145|_p_origin_prod%3A,
BTT Octopus Pro H723 V1.1 ,$56.00,,https://www.aliexpress.com/item/1005003561351349.html?gatewayAdapt=usa2glo4itemAdapt,
350W 48V PSU,$20.00,,https://www.omc-stepperonline.com/lrs-350-48-mean-well-350w-48vdc-7-3a-115-230vac-enclosed-switching-power-supply-lrs-350-48,
17HS19-2504S-H-V1 Steppers,$59.00,,https://www.omc-stepperonline.com/4pcs-nema-17-high-temp-stepper-motor-55ncm-77-93oz-in-55mm-round-shaft-insulation-class-h-180c-4-17hs19-2504s-h-v1,Can get both from one place and save on shipping.
Dragon Ace Volcano PT1000 Hotend,$79.56,,https://trianglelab.net/products/dragon-ace%E2%84%A2-hotend?VariantsId=12007,Already own all the other parts for the toolhead. 
Ace Volcano MZE,$9.80,,https://trianglelab.net/products/mze%E2%84%A2-dlc-v6-melt-zone-extruder,
